MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
NissanKicks1.8I-vtec,Nissan,Kicks,1.8I-vtec,Hatchback,Manual,Petrol,10,1,White,6.8,5.8,"54,000",1303955,379950,70.9
MazdaTitan1.4Crdi,Mazda,Titan,1.4Crdi,Sedan,Manual,diesel,11,1,White,6.1,8.8,"23,540",1081271,690000,36.2
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,10,4,Black,4.5,5.2,"55,000",536698,211200,60.6
MazdaTitanVGT CRDi,Mazda,Titan,VGT CRDi,Sedan,Manual,Petrol,10,1,Beige,6.8,7.4,"64,000",874471,310800,64.5
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,2,White,6.8,7.2,"55,000",563323,224502,60.1
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,9,2,Other,9.9,9.9,"19,350",446864,167200,62.6
FordPinto2.5G(diesel)7Seater,Ford,Pinto,2.5G(diesel)7Seater,MUV,Manual,Diesel,10,1,Black,3.8,5.2,"1,32,035",1609143,497200,69.1
MitsubishiMirageLXi BS-III,Mitsubishi,Mirage,LXi BS-III,Hatchback,Manual,Petrol,12,1,Black,4.5,8.4,"54,000",884942,127600,85.6
MazdaAtenzaGLS 1.6,Mazda,Atenza,GLS 1.6,Sedan,Manual,Petrol,11,1,Silver,6.4,9.9,"78,484",551737,101200,81.7
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,5,1,White,5,4.5,"40,000",581615,347568,40.2
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,9,1,Red,6.4,9.9,"62,000",563323,244358,56.6
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,8,1,Blue,4.5,4.8,"40,000",462988,242550,47.6
FordPinto2.5 G4 7 STR,Ford,Pinto,2.5 G4 7 STR,MUV,Manual,Diesel,12,1,Red,8.3,7.7,"1,40,000",1115556,393609,64.7
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,10,1,White,5.2,6.6,"65,000",1675849,403200,75.9
MazdaTitan1.6 CRDI SX,Mazda,Titan,1.6 CRDI SX,Sedan,Manual,diesel,5,1,White,3.8,8.6,"77,000",1375438,646062,53
FordCamry2.5G,Ford,Camry,2.5G,Sedan,Automatic,Petrol,6,2,White,5,9.9,"29,000",3527401,1258750,64.3
MitsubishiChallengerLXi BS-IV,Mitsubishi,Challenger,LXi BS-IV,Hatchback,Manual,Petrol,6,1,Black,6.4,3.4,"34,000",342090,242550,29.1
MitsubishiEclipseVxiAbs,Mitsubishi,Eclipse,VxiAbs,Hatchback,Manual,Petrol,8,1,Golden,5,9.4,"60,000",531852,198000,62.8
MitsubishiA-StarVxi (ABS) AT,Mitsubishi,A-Star,Vxi (ABS) AT,Hatchback,Automatic,Petrol,6,1,White,4.5,7.8,"28,000",529908,278838,47.4
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,Beige,7,5.8,"45,000",996627,469775,52.9
MazdaGrand RX10Triton 1.2 Grind VTVT,Mazda,Grand RX10,Triton 1.2 Grind VTVT,Hatchback,Manual,Petrol,4,1,Grey,5,5,"11,846",633709,402268,36.5
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,diesel,7,1,White,6.1,9.6,"59,000",1217935,511438,58
MitsubishiChallenger 800LXI,Mitsubishi,Challenger 800,LXI,Hatchback,Manual,Petrol,2,1,White,4.5,7.4,"2,200",375111,260662,30.5
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,8,1,Beige,5,9.1,"52,200",2426682,478272,80.3
FordPinto2.5G(diesel)8Seater,Ford,Pinto,2.5G(diesel)8Seater,MUV,Manual,Diesel,5,1,Other,9.3,4.2,"78,000",1615121,1235000,23.5
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,12,1,Silver,5,4.5,"60,000",505259,127600,74.7
MitsubishiEeco7 STR,Mitsubishi,Eeco,7 STR,Van,Automatic,Petrol,8,2,White,6.4,4.8,"53,645",424691,220000,48.2
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Manual,Petrol,11,1,Grey,4.5,7.2,"44,171",640982,174240,72.8
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,4,1,Silver,9.9,6.7,"9,000",507718,403200,20.6
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,12,1,Black,5,7.8,"42,000",475198,105600,77.8
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,4,1,Red,3.3,9.9,"71,000",1217935,587982,51.7
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol + CNG,8,1,Silver,4,8.3,"77,300",457174,162800,64.4
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,10,1,White,5.7,3.4,"1,15,000",870791,384592,55.8
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,10,2,White,5.5,9.9,"68,000",1585200,233518,85.3
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Grey,6.4,7.6,"65,238",837628,260662,68.9
MitsubishiA-StarVxi,Mitsubishi,A-Star,Vxi,Hatchback,Manual,Petrol,8,1,White,6.8,6.4,"46,379",470900,189200,59.8
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,4,1,White,4.4,5.9,"71,000",3133263,1753500,44
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,8,1,Grey,9.9,4.9,"53,214",1675849,497200,70.3
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,7,1,Grey,6.1,3.4,"57,000",996627,568750,42.9
MazdaNeo Fluidic Runner1.6SxAtCrdi,Mazda,Neo Fluidic Runner,1.6SxAtCrdi,Sedan,Automatic,Diesel,2,1,Silver,8.5,7.9,"6,000",2228480,1629250,26.9
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,7,1,Brown,6.8,5.2,"38,063",394409,224502,43.1
MitsubishiSx4VXI CNG BS-IV,Mitsubishi,Sx4,VXI CNG BS-IV,Sedan,Manual,cng,8,1,Silver,6.4,3.8,"49,472",864940,310800,64.1
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,7,1,White,5,4.2,"42,312",806541,355876,55.9
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,5,1,White,4,9.9,"45,000",507718,220000,56.7
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,6,1,Grey,6.1,5.2,"45,389",507718,379950,25.2
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,7,1,Blue,3.8,5.2,"75,617",651184,264292,59.4
MazdaRX20Triton (O) 1.2,Mazda,RX20,Triton (O) 1.2,Hatchback,Manual,Petrol,3,2,Red,5,9,"55,000",613863,310800,49.4
MazdaTitanVGT CRDi SX,Mazda,Titan,VGT CRDi SX,Sedan,Manual,diesel,10,2,Black,4.3,9.9,"75,000",932375,265200,71.6
NissanMaximaVx(o)1.5lI-dtecSunroof,Nissan,Maxima,Vx(o)1.5lI-dtecSunroof,Hatchback,Manual,Diesel,3,1,White,4.2,9.4,"60,450",1497108,787804,47.4
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,White,4.5,5.4,"41,949",585070,278838,52.3
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,7,2,Red,4.8,9.1,"80,008",738248,264292,64.2
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,6,1,White,3.8,4.8,"70,000",741508,398542,46.3
FordPinto2.5 G4 7 STR,Ford,Pinto,2.5 G4 7 STR,MUV,Manual,Diesel,8,1,Golden,3.3,9.9,"1,80,000",1115556,554368,50.3
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,10,1,White,4.5,4.2,"67,000",475198,220000,53.7
MitsubishiChallenger 800LXI,Mitsubishi,Challenger 800,LXI,Hatchback,Manual,Petrol,3,1,White,3.8,7.4,"24,652",375111,220000,41.4
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,6,1,Grey,5.4,5.4,"67,000",870791,516192,40.7
FordEdgeV,Ford,Edge,V,Sedan,Manual,Petrol,5,1,Silver,3.8,9.9,"63,428",781928,278838,64.3
FordMustang AltisD-4dG,Ford,Mustang Altis,D-4dG,Sedan,Manual,Diesel,7,1,Golden,4.3,9.9,"65,000",1899804,544800,71.3
MazdaRX20G5 1.4 CRDI,Mazda,RX20,G5 1.4 CRDI,Hatchback,Manual,Diesel,8,1,Blue,4.5,4.2,"52,000",894411,352182,60.6
MazdaRX20Triton 1.4 CRDI,Mazda,RX20,Triton 1.4 CRDI,Hatchback,Manual,Diesel,5,1,Beige,4.5,6.2,"21,500",739676,469775,36.5
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,10,1,Beige,5,5.6,"56,772",741508,242550,67.3
NissanBirdBase,Nissan,Bird,Base,Sedan,Manual,Petrol,9,2,Red,6.4,9.9,"71,000",821426,251598,69.4
FordEdge Cross1.4 VD,Ford,Edge Cross,1.4 VD,Crossover,Manual,Diesel,2,1,Orange,9.8,8.4,"40,000",965953,690766,28.5
MazdaTitanFluidic 1.6 VTVT SX,Mazda,Titan,Fluidic 1.6 VTVT SX,Sedan,Manual,Petrol,7,2,Purple,4.3,8.4,"53,571",1046416,403200,61.5
MazdaAccioBase 1.1 CRDi,Mazda,Accio,Base 1.1 CRDi,Sedan,Manual,Diesel,1,1,Silver,9.8,5.2,"24,215",717230,616950,14
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,7,1,White,5,4.2,"46,980",685269,324558,52.6
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,11,2,Black,4.8,7.3,"97,000",1317441,501942,61.9
NissanTerrano2.4 VTi-L MT,Nissan,Terrano,2.4 VTi-L MT,Sedan,Manual,Petrol,11,1,White,4.5,9.9,"62,000",1883226,309884,83.5
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,Diesel,9,2,Grey,4,9.9,"96,000",1120298,626638,44.1
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,cng,11,1,White,6.8,6,"71,000",750204,215600,71.3
NissanMaximaSvI-dtec,Nissan,Maxima,SvI-dtec,Hatchback,Manual,Diesel,3,1,Red,8.3,7,"30,000",1299622,863950,33.5
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,5,1,Brown,4.6,6.8,"71,000",533447,274288,48.6
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,10,1,Silver,5,9.1,"64,374",771954,171600,77.8
MitsubishiEeco7 STR,Mitsubishi,Eeco,7 STR,Van,Automatic,Petrol,7,1,Grey,5.7,6,"69,315",424691,220000,48.2
MazdaRX20Laputa 1.2,Mazda,RX20,Laputa 1.2,Hatchback,Manual,Petrol,7,1,Grey,6.4,7.6,"47,000",678359,306222,54.9
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,2,Red,6.8,5.6,"38,000",563323,175120,68.9
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,10,1,Red,8.5,6.3,"56,000",446864,184008,58.8
MazdaRX10Triton 1.2 Grind2,Mazda,RX10,Triton 1.2 Grind2,Hatchback,Manual,Petrol,5,1,White,4.6,7.4,"65,000",510209,260662,48.9
MitsubishiEeco7 STR,Mitsubishi,Eeco,7 STR,Van,Manual,Petrol,8,3,Grey,5.4,7.3,"2,00,000",424691,140800,66.8
NissanMaximaZx,Nissan,Maxima,Zx,Sedan,Manual,Petrol,8,1,White,4.5,9.2,"27,400",921736,450000,51.2
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,9,2,Grey,6.4,9.6,"61,000",806541,287950,64.3
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,4,1,Brown,5,4,"10,000",520309,366048,29.6
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,9,2,Red,6.8,8.8,"56,000",475198,176000,63
MazdaRX20Triton (O) 1.2,Mazda,RX20,Triton (O) 1.2,Hatchback,Manual,Petrol,10,2,Black,6.4,9.8,"75,000",613863,184800,69.9
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,10,1,Black,6.7,6.4,"78,000",462988,193600,58.2
FordPinto2.5 G 7 STR BS-III,Ford,Pinto,2.5 G 7 STR BS-III,MUV,Manual,Diesel,12,2,White,4.8,9.4,"1,30,000",1459706,352182,75.9
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,1,Silver,4.8,7.6,"97,000",585070,191631,67.2
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,1,Beige,8.5,6.3,"45,000",944779,346741,63.3
MazdaRunner1.6 S MT,Mazda,Runner,1.6 S MT,Sedan,Manual,diesel,5,1,White,6.4,3.4,"30,000",1795261,1425000,20.6
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,Beige,4.5,9.9,"50,000",1525510,379950,75.1
NissanTerrano2.4 VTi-L MT,Nissan,Terrano,2.4 VTi-L MT,Sedan,Manual,Petrol,10,2,Golden,4.8,6.5,"69,368",1883226,468832,75.1
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Manual,Petrol,10,1,Silver,6.4,6,"70,380",640982,265200,58.6
NissanKicks1.8S AT,Nissan,Kicks,1.8S AT,Sedan,Automatic,Petrol,11,1,White,4.5,6.6,"53,500",1343469,333750,75.2
FordFortuner3.0 4x4 MT,Ford,Fortuner,3.0 4x4 MT,SUV,Automatic,diesel,5,1,White,5.7,4.8,"36,302",3234954,2090000,35.4
NissanTerrano2.4EleganceMt,Nissan,Terrano,2.4EleganceMt,Sedan,Manual,Petrol,8,1,White,4.8,7.3,"75,000",2370072,497200,79
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,White,5,6.1,"39,000",585070,263384,55
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,2,other,6.8,9.9,"40,000",563323,158400,71.9
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,9,2,Red,4,7.2,"93,000",870791,274288,68.5
MitsubishiPajeroLdi[2007-2011],Mitsubishi,Pajero,Ldi[2007-2011],Hatchback,Manual,diesel,9,1,Silver,6.8,5,"42,000",702718,319968,54.5
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,7,1,Grey,6.8,6.4,"40,000",462988,220000,52.5
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,10,2,Black,5,8.8,"65,000",741508,193600,73.9
MitsubishiSx4ZxiLeather,Mitsubishi,Sx4,ZxiLeather,Sedan,Manual,Petrol,11,2,black,6.4,4.4,"82,000",698267,229008,67.2
MitsubishiEclipseLX BS-III,Mitsubishi,Eclipse,LX BS-III,Hatchback,Manual,Petrol,12,2,Black,6.8,6.4,"43,000",387327,131120,66.1
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,6,1,Black,4.3,5.7,"50,000",828687,449992,45.7
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,8,2,Grey,4.3,7,"57,310",514112,206800,59.8
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,3,1,Maroon,5,9.7,"24,000",996627,690000,30.8
MazdaAtenzaGLE,Mazda,Atenza,GLE,Sedan,Manual,Petrol,10,2,Grey,6.4,6,"80,000",691111,154000,77.7
NissanBirdSCvtI-vtec,Nissan,Bird,SCvtI-vtec,Sedan,Automatic,Petrol,3,1,White,5,6.8,"4,497",888246,607278,31.6
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,11,1,White,6.8,6,"60,000",336331,127600,62.1
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,8,1,White,4.5,4.2,"23,057",828687,324558,60.8
MitsubishiMirageDelta 1.2 AT,Mitsubishi,Mirage,Delta 1.2 AT,Hatchback,Automatic,Petrol,2,1,Grey,7.9,5.5,"35,000",820406,642343,21.7
MitsubishiA-StarVXI AT,Mitsubishi,A-Star,VXI AT,Hatchback,Automatic,Petrol,7,1,Blue,9.2,4.5,"51,000",529908,265200,50
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,6,1,Red,6.1,7.1,"48,645",944779,520950,44.9
FordMustang Altis1.8Vl,Ford,Mustang Altis,1.8Vl,Sedan,Manual,Petrol,10,2,White,4.3,9.4,"70,078",1822366,403200,77.9
MitsubishiCiazZXi,Mitsubishi,Ciaz,ZXi,Sedan,Manual,Petrol,4,1,White,6.1,7.1,"20,991",1014512,640228,36.9
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,1,Red,4.3,6.4,"68,928",585070,260662,55.4
MitsubishiPajero FocusZXi,Mitsubishi,Pajero Focus,ZXi,Sedan,Automatic,Petrol,6,1,Grey,6.4,7.8,"40,000",812098,413462,49.1
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,10,2,Blue,9.9,8.2,"50,000",536698,140800,73.8
MazdaTitan1.6 CRDI SX,Mazda,Titan,1.6 CRDI SX,Sedan,Manual,Diesel,6,1,White,4.8,6,"51,000",1375438,535248,61.1
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,10,2,Black,4.5,9.9,"55,000",944779,260662,72.4
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,11,1,Red,5.3,6.6,"85,000",1464334,265200,81.9
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,Diesel,6,1,Blue,4.8,4.2,"63,057",3013628,1567500,48
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,11,1,Black,3.5,9.9,"1,75,000",750204,114400,84.8
FordCamry2.5L AT,Ford,Camry,2.5L AT,Sedan,Automatic,Petrol,4,1,Silver,9.5,5.6,"34,616",3414762,1995000,41.6
MazdaTitan1.6SxCrdiAt,Mazda,Titan,1.6SxCrdiAt,Sedan,Automatic,Diesel,3,1,White,4.8,8.9,"34,000",1463428,789796,46
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,11,1,Red,9.9,4.6,"37,281",507718,198000,61
MazdaTitanFluidic 1.6 VTVT SX Opt AT,Mazda,Titan,Fluidic 1.6 VTVT SX Opt AT,Sedan,Automatic,Petrol,7,2,Beige,4.3,8.2,"42,910",1187794,497200,58.1
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,diesel,8,1,Golden,6.8,4.6,"30,177",738248,376239,49
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,6,1,Black,9.9,8.2,"50,000",828687,449992,45.7
